bat_t0,bat_t1,bat_t2,bat_t3,bat_t4,bat_t5,riot_sum,prot_sum,expl_sum,viol_sum,strat_sum,prevalenceUndernourishment,"Death rate, crude (per 1,000 people)",GDP per Capita,Military expenditure (% of GDP),prevalenceUndernourishment_y2,"Death rate, crude (per 1,000 people)_y2",GDP per Capita_y2,Military expenditure (% of GDP)_y2,rfc,iso3,date
0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,39.8,10.505999999999998,595.4220772952291,1.7338976739617695,9.44,4.612,11425.137208522889,7.9332961612550195,0.019,SWZ,2019-02-01
2.0,14.0,6.0,19.0,15.0,9.0,13.0,17.0,2.0,73.0,46.0,59.6,12.671,475.721250544318,1.40860967195269,59.6,12.671,449.78642351042396,1.4355130553548998,0.822,CAF,2019-02-01
12.0,23.0,31.0,16.0,14.0,5.0,5.0,62.0,171.0,54.0,31.0,42.6,12.337,504.85621740162696,1.103120717460644,12.079999999999998,6.7620000000000005,7719.776590605278,6.306786723749268,0.721,EGY,2019-02-01
0.0,2.0,0.0,1.0,1.0,0.0,10.0,9.0,0.0,6.0,2.0,25.6,12.003,533.991184258936,0.7976317629685981,25.6,12.003,499.38070781976,1.11400432490446,0.005,SLE,2019-02-01
2.0,3.0,2.0,1.0,3.0,2.0,55.0,40.0,0.0,57.0,19.0,41.0,6.769,642.776744292007,1.4250058976975302,41.0,6.769,631.5227197922779,1.2935933759192701,0.011,UGA,2019-02-01
4.0,5.0,12.0,3.0,3.0,1.0,6.0,15.0,7.0,49.0,36.0,16.5,8.529,413.980304962089,2.45284928450267,16.5,8.529,375.869489673522,2.47355475012656,0.332,NER,2019-02-01
1.0,0.0,0.0,0.0,0.0,0.0,9.0,24.0,0.0,3.0,4.0,11.3,5.845,1521.95355421391,1.85432975233273,11.3,5.845,1367.2189480228399,1.88634136843828,0.0,SEN,2019-02-01
0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,1.0,0.0,16.1,8.568,679.257083602874,1.97291955976058,16.1,8.568,624.544945930112,1.8855802312923,0.0,TGO,2019-02-01
0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,0.0,0.0,2.0,37.2,7.729,677.322178545364,0.7653727598610028,37.2,7.729,698.7017643551101,0.7282714286735921,0.0,LBR,2019-02-01
4.0,3.0,20.0,6.0,18.0,8.0,27.0,113.0,4.0,78.0,39.0,20.6,6.691,772.313530261357,0.6419202927722609,20.6,6.691,768.425025531532,0.6766622111845191,0.085,ETH,2019-02-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.8,2.4619999999999997,16415.157278098897,8.17129950109292,6.8,2.4619999999999997,15130.4978264405,9.55980559876077,0.0,OMN,2019-02-01
3.0,1.0,6.0,6.0,6.0,2.0,6.0,17.0,13.0,20.0,14.0,37.5,12.309000000000001,728.343235359289,2.1295595384847,37.5,12.309000000000001,664.303315726258,2.23858942668309,0.361,TCD,2019-02-01
